date,AAPL,CRM,MSFT
2020-06-02 00:00:00,321.775,174.79,183.25
2020-06-03 00:00:00,323.39,176.36,182.83
2020-06-04 00:00:00,325.03,176.45829315662942,183.7686533343014
2020-06-05 00:00:00,322.32,174.99,185.36
2020-06-06 00:00:00,331.48,171.44,182.92
2020-06-09 00:00:00,331.5,173.88,187.2
2020-06-10 00:00:00,333.46,176.55,188.36
2020-06-10 00:00:00,463.534213243233,173.53629388513642,186.55992841465843
2020-06-12 00:00:00,336.05,172.03,185.57595942628242
2020-06-13 00:00:00,338.85,175.13,185.79957661681684
2020-06-16 00:00:00,338.8,175.11,187.74
2020-06-17 00:00:00,352.31,178.61,188.94
2020-06-18 00:00:00,352.08,180.48,193.57
2020-06-19 00:00:00,351.59,181.4,194.24
2020-06-20 00:00:00,351.73,187.66,196.32
2020-06-23 00:00:00,349.72,186.95,195.15
2020-06-24 00:00:00,358.87,191.65,200.57
2020-06-25 00:00:00,366.53,189.06,201.91
2020-06-26 00:00:00,360.06,185.55,197.84
2020-06-27 00:00:00,364.84,188.34,200.34
2020-06-30 00:00:00,353.63,183.17,196.33
2020-07-01 00:00:00,361.78,183.33,198.44
2020-07-02 00:00:00,364.8,187.33,203.51
2020-07-03 00:00:00,364.11,191.89,204.7
2020-07-03 00:00:00,541.8532884778522,190.48474224388596,206.75562092550098
2020-07-07 00:00:00,364.11,192.53,206.26
2020-07-08 00:00:00,373.85,197.72,210.7
2020-07-09 00:00:00,372.69,196.38,208.25
2020-07-10 00:00:00,381.37,200.28,212.83
2020-07-11 00:00:00,383.01,200.74,214.32
2020-07-14 00:00:00,383.68,198.88,213.67
2020-07-15 00:00:00,381.91,188.34,207.07
2020-07-16 00:00:00,388.23,189.56,208.35
2020-07-17 00:00:00,390.9,188.09,208.04
2020-07-18 00:00:00,386.09,185.51,203.92
2020-07-21 00:00:00,385.31,187.78,202.88
2020-07-22 00:00:00,393.43,195.09,211.6
2020-07-23 00:00:00,388.0,190.8,208.75
2020-07-24 00:00:00,389.09,191.31,211.75
2020-07-25 00:00:00,371.38,188.54,202.54
2020-07-28 00:00:00,370.46,188.49,201.3
2020-07-29 00:00:00,379.24,190.96,203.85
2020-07-30 00:00:00,373.01,189.5,202.02
2020-07-31 00:00:00,380.16,193.61,204.06
2020-08-01 00:00:00,384.76,191.7,203.9
2020-08-04 00:00:00,425.04,194.85,205.01
2020-08-05 00:00:00,435.75,203.19,216.54
2020-08-06 00:00:00,438.66,201.41,213.29
2020-08-07 00:00:00,440.25,202.64,212.94
2020-08-07 19:55:00,455.61,207.79,216.35
2020-08-11 00:00:00,444.45,201.05,212.48
2020-08-12 00:00:00,450.91,197.16,208.25
2020-08-13 00:00:00,437.5,191.99,203.38
2020-08-14 00:00:00,452.04,192.62,209.19
2020-08-15 00:00:00,460.04,195.14,208.7
2020-08-18 00:00:00,459.63,193.46,208.9
2020-08-19 00:00:00,458.43,196.74,210.28
2020-08-20 00:00:00,462.25,204.01,210.97689453403999
2020-08-21 00:00:00,462.83,205.11,209.7
2020-08-22 00:00:00,473.1,209.51,214.58
2020-08-25 00:00:00,497.48,207.53,213.02
2020-08-26 00:00:00,503.43,208.46,213.69
2020-08-27 00:00:00,499.3,216.05,216.47
2020-08-28 00:00:00,506.09,272.32,221.15
2020-08-28 19:55:00,500.04,276.32,226.58
2020-08-31 20:40:00,499.23,271.1,228.91
2020-09-01 20:45:00,129.04,272.65,225.53
2020-09-03 00:00:00,134.18,281.25,227.27
2020-09-03 20:50:00,131.4,276.69,231.65
2020-09-05 00:00:00,120.88,265.01,217.3
2020-09-07 00:00:00,242.17688553877312,270.2424688248007,218.30428980792743
2020-09-08 20:55:00,120.96,254.7,214.25
2020-09-10 00:00:00,112.82,241.27,202.66
2020-09-11 00:00:00,117.32,250.43,211.29
2020-09-12 00:00:00,113.49,247.8,205.37
2020-09-14 20:05:00,112.0,243.1,204.03
2020-09-16 00:00:00,115.355,246.64,205.41
2020-09-16 20:30:00,115.54,251.68,208.78
2020-09-17 20:20:00,112.13,250.6,205.05
2020-09-18 20:10:00,110.34,244.53,202.91
2020-09-21 20:25:00,106.84,242.78,200.39
2020-09-23 00:00:00,110.08,245.05,202.54
2020-09-23 20:50:00,111.81,247.78,207.42
2020-09-25 00:00:00,107.12,235.99,200.59
2020-09-26 00:00:00,108.22,237.55,203.19
2020-09-29 00:00:00,112.28,242.74,207.82
2020-09-30 00:00:00,114.96,246.67,209.44
2020-10-01 00:00:00,114.09,247.45,207.26
2020-10-02 00:00:00,115.81,251.32,210.33
2020-10-03 00:00:00,116.79,253.45,212.46
2020-10-06 00:00:00,113.02,247.85,206.19
2020-10-06 20:10:00,116.5,251.53,210.38
